indice_tiempo;eph_continua_tasa_desempleo_total;eph_continua_tasa_desempleo_total_gba;eph_continua_tasa_desempleo_total_cuyo;eph_continua_tasa_desempleo_total_nordeste;eph_continua_tasa_desempleo_total_noroeste;eph_continua_tasa_desempleo_total_region_pampeana;eph_continua_tasa_desempleo_total_patagonia;eph_continua_tasa_desempleo_total_caba;eph_continua_tasa_desempleo_total_partidos_gba;eph_continua_tasa_desempleo_total_gran_mendoza;eph_continua_tasa_desempleo_total_gran_san_juan;eph_continua_tasa_desempleo_total_san_luis;eph_continua_tasa_desempleo_total_corrientes;eph_continua_tasa_desempleo_total_formosa;eph_continua_tasa_desempleo_total_gran_resistencia;eph_continua_tasa_desempleo_total_posadas;eph_continua_tasa_desempleo_total_gran_tucuman;eph_continua_tasa_desempleo_total_gran_catamarca;eph_continua_tasa_desempleo_total_jujuy;eph_continua_tasa_desempleo_total_la_rioja;eph_continua_tasa_desempleo_total_salta;eph_continua_tasa_desempleo_total_santiago_del_estero;eph_continua_tasa_desempleo_total_gran_cordoba;eph_continua_tasa_desempleo_total_gran_la_plata;eph_continua_tasa_desempleo_total_gran_rosario;eph_continua_tasa_desempleo_total_mar_del_plata;eph_continua_tasa_desempleo_total_concordia;eph_continua_tasa_desempleo_total_bahia_blanca;eph_continua_tasa_desempleo_total_gran_parana;eph_continua_tasa_desempleo_total_gran_santa_fe;eph_continua_tasa_desempleo_total_rio_cuarto;eph_continua_tasa_desempleo_total_santa_rosa;eph_continua_tasa_desempleo_total_san_nicolas;eph_continua_tasa_desempleo_total_comodoro_rivadavia;eph_continua_tasa_desempleo_total_neuquen;eph_continua_tasa_desempleo_total_rio_gallegos;eph_continua_tasa_desempleo_total_ushuaia_rio_grande;eph_continua_tasa_desempleo_total_rawson_trelew;eph_continua_tasa_desempleo_total_viedma_carmen_patagones
1/1/2004;0.135209064;0.143600638;0.095508428;0.08711933;0.138582716;0.137796508;0.075836108;0.102497324;0.157901514;0.101944007;0.112598581;0.020718956;0.098817111;0.065816634;0.079570637;0.099514946;0.139891023;0.142468005;0.147185089;0.094340227;0.151864212;0.125243911;0.131747047;0.139529364;0.154874966;0.130905974;0.165690191;0.156651532;0.106986156;0.13378527;0.107847737;0.085701735;;0.085414414;0.07835899;0.019816889;0.096821759;;
1/1/2005;0.1151006;0.127234111;0.075535261;0.062907475;0.108940051;0.111327553;0.071264118;0.090869356;0.139852454;0.075756143;0.101362956;0.013524267;0.08827453;0.051040922;0.054065396;0.052855093;0.121308986;0.113517093;0.087321713;0.078176976;0.134399024;0.072076047;0.105915228;0.119286325;0.123783106;0.124856843;0.113919123;0.100526762;0.083084839;0.103405414;0.084446927;0.056491525;;0.082042298;0.079737459;0.015718428;0.07987537;;
1/1/2006;0.100880529;0.110995283;0.05732236;0.059899785;0.101240195;0.097269924;0.076901885;0.082708852;0.120590937;0.052653302;0.084994321;0.016481453;0.071190382;0.043955958;0.054880844;0.063769445;0.112019403;0.109525851;0.07382103;0.07361179;0.097599662;0.076475783;0.08719369;0.11900226;0.11494439;0.100835489;0.092297814;0.09030615;0.067190738;0.075965653;0.086057241;0.064005041;;0.068725932;0.093417017;0.032078641;0.076970536;;
1/1/2007;0.083998965;0.091394553;0.047530839;0.04906404;0.088876636;0.086814064;0.057936602;0.067912161;0.099544461;0.04096749;0.075582443;0.016369518;0.0528692;0.034297758;0.061858499;0.040786545;0.093914409;0.106012175;0.076872874;0.081353789;0.098932833;0.066604891;0.084637441;0.075850735;0.099715867;0.103055829;0.066388715;0.088996316;0.0557314;0.085851107;0.088077682;0.055951805;0.080598227;0.04515962;0.063575887;0.021036799;0.069256326;0.065466247;0.076194145
1/1/2008;0.078295428;0.083580659;0.044865315;0.047215508;0.080381038;0.08145604;0.060198153;0.055120926;0.093399199;0.040501337;0.067809712;0.013012707;0.067252014;0.027307867;0.037665964;0.046825914;0.090917084;0.086050843;0.070860334;0.06620557;0.090916825;0.051473245;0.07234534;0.082544988;0.085125767;0.094626579;0.064270714;0.08128641;0.056700559;0.108029634;0.075286011;0.046321944;0.079873456;0.046107495;0.070080671;0.018910281;0.055268256;0.067981765;0.097525474
1/1/2009;0.086399828;0.090652487;0.064231933;0.03947667;0.081742096;0.094038591;0.069758425;0.067662626;0.091542375;0.069441855;0.06219019;0.032355889;0.053440823;0.024740284;0.030490583;0.055154973;0.094474406;0.097607403;0.062678484;0.064195684;0.087409681;0.053542312;0.096971303;0.069818039;0.105004199;0.109749844;0.070016973;0.08710435;0.070555516;0.109932406;0.092494863;0.035788089;0.082563623;0.044417409;0.07511753;0.027768675;0.095325845;0.071426976;0.107356273
1/1/2010;0.0775;0.08175;0.05075;0.03775;0.0735;0.0835;0.05775;0.06125;0.08925;0.04625;0.076;0.01575;0.04625;0.02375;0.034;0.041;0.06225;0.091;0.0565;0.05625;0.106;0.0605;0.0805;0.0715;0.089;0.08375;0.07825;0.0845;0.09775;0.09075;0.101;0.03675;0.081;0.04;0.0595;0.02275;0.08175;0.06875;0.07
1/1/2011;0.0715;0.07825;0.044;0.0345;0.0655;0.07575;0.05325;0.059;0.0845;0.04325;0.05575;0.019;0.051;0.02175;0.03025;0.02675;0.03925;0.09775;0.0515;0.04825;0.102;0.06975;0.07175;0.063;0.07575;0.0895;0.06075;0.0915;0.10075;0.076;0.07875;0.03025;0.07475;0.045;0.07;0.0225;0.06175;0.052;0.03675
1/1/2012;0.072;0.07825;0.04475;0.02275;0.06725;0.07775;0.052;0.05525;0.08625;0.043;0.05825;0.02225;0.02925;0.02225;0.0125;0.025;0.04125;0.0905;0.05225;0.04775;0.10275;0.07875;0.0865;0.05375;0.086;0.0895;0.047;0.07825;0.08875;0.07125;0.06325;0.01825;0.08125;0.03775;0.05175;0.037;0.06975;0.05625;0.06475
1/1/2013;0.07075;0.076;0.04725;0.02475;0.059;0.08025;0.061;0.05375;0.08325;0.04125;0.07125;0.02;0.05075;0.01825;0.0045;0.01825;0.04325;0.08225;0.0465;0.0495;0.09125;0.0465;0.097;0.056;0.081;0.102;0.057;0.07875;0.082;0.06825;0.065;0.01925;0.0635;0.0465;0.07275;0.04;0.08225;0.049;0.05325
1/1/2014;0.0715;0.07675;0.04925;0.029;0.0605;0.0805;0.058;0.05425;0.08425;0.046;0.07;0.0165;0.053;0.01725;0.002;0.0325;0.067;0.06975;0.0485;0.0445;0.07075;0.03425;0.097;0.06575;0.08375;0.09775;0.052;0.0715;0.063;0.064;0.08075;0.019;0.06825;0.04975;0.07125;0.03925;0.06;0.0655;0.03725
1/1/2015;0.065333333;0.070333333;0.039333333;0.023;0.054666667;0.075666667;0.045;0.047666667;0.078;0.036333333;0.061;0.015666667;0.038666667;0.013;0.01065;0.027433333;0.062666667;0.067333333;0.043;0.043;0.066666667;0.017;0.090333333;0.046666667;0.086333333;0.100666667;0.063666667;0.062333333;0.054333333;0.059333333;0.077333333;0.021333333;0.066666667;0.033666667;0.043666667;0.046333333;0.046;0.074;0.024333333
1/1/2016;0.084666667;0.097;0.044333333;0.039;0.063333333;0.086666667;0.052;0.073666667;0.104;0.039666667;0.059;0.034666667;0.043333333;0.044333333;0.033666667;0.038333333;0.076666667;0.069;0.036;0.044666667;0.078333333;0.034333333;0.097666667;0.069;0.098666667;0.114333333;0.057333333;0.081;0.042333333;0.046333333;0.086;0.060666667;0.079666667;0.031333333;0.059333333;0.060666667;0.061333333;0.061666667;0.027
1/1/2017;0.0835;0.09725;0.04325;0.03525;0.065;0.07975;0.058;0.07025;0.1055;0.03875;0.0605;0.0245;0.03625;0.0315;0.03125;0.04;0.0685;0.091;0.0585;0.039;0.08;0.03325;0.0835;0.0775;0.09275;0.1015;0.0565;0.07575;0.0355;0.04175;0.06975;0.073;0.06675;0.045;0.06125;0.05125;0.06275;0.08875;0.02
1/1/2018;0.092;0.10775;0.04575;0.0435;0.0705;0.0885;0.06025;0.07925;0.11525;0.055;0.036;0.02675;0.056;0.037;0.04875;0.02825;0.076;0.08375;0.061;0.038;0.092;0.03775;0.0985;0.08325;0.09475;0.10325;0.0635;0.087;0.05125;0.05075;0.07525;0.09825;0.094;0.03625;0.0495;0.07475;0.07025;0.1045;0.04275
1/1/2019;0.09825;0.11025;0.0615;0.04475;0.08925;0.09675;0.06825;0.078;0.11975;0.08275;0.03;0.03025;0.05975;0.04475;0.035333333;0.0345;0.1025;0.09225;0.07625;0.06275;0.10425;0.0515;0.11225;0.0935;0.09925;0.112;0.0985;0.08275;0.06;0.0585;0.05875;0.10225;0.10575;0.039;0.052;0.0825;0.1055;0.104;0.0415
1/1/2020;0.115394831;0.12714486;0.084923653;0.06431405;0.086995334;0.122632015;0.077491447;0.092975727;0.137715949;0.109716952;0.053947867;0.031910586;0.065981516;0.043985129;0.075016195;0.060396593;0.109889773;0.076444827;0.060820478;0.050108515;0.11118164;0.041574287;0.143009518;0.086599674;0.138779298;0.151477504;0.105290898;0.080011624;0.073708877;0.109523877;0.113304379;0.098726517;0.100930037;0.044461114;0.098172979;0.050731097;0.15729865;0.065472584;0.036254172
1/1/2021;0.087502258;0.09373446;0.066062389;0.053182698;0.07658594;0.092280948;0.064479058;0.071266493;0.100311659;0.079827263;0.048730098;0.036518009;0.050530358;0.042445968;0.065293414;0.048466882;0.110655889;0.060640583;0.056381678;0.040981505;0.085622278;0.030186181;0.121779624;0.059671978;0.093664603;0.099562483;0.072400284;0.086585491;0.054029681;0.082003204;0.064237715;0.099122821;0.076623979;0.031836691;0.079971797;0.066599233;0.081059739;0.077317427;0.027487911
1/1/2022;0.06820451;0.07564468;0.04600045;0.04159684;0.058938677;0.068039845;0.045417065;0.047352651;0.083464743;0.056096759;0.032239919;0.029381875;0.045484876;0.031743506;0.052269404;0.03273848;0.076467868;0.047643927;0.055414684;0.043348871;0.068159378;0.020738595;0.08003034;0.056818084;0.061327089;0.075416565;0.05669886;0.07461953;0.042801888;0.074688765;0.052185861;0.074657896;0.066548683;0.017947588;0.064580479;0.062287203;0.044670799;0.046316114;0.012239466
1/1/2023;0.061251394;0.067575345;0.042916909;0.040669606;0.047134649;0.06449873;0.041827196;0.040256612;0.075068085;0.050787012;0.034445202;0.025672648;0.048841074;0.017843014;0.048978332;0.037518077;0.058636275;0.044110253;0.054023891;0.037689367;0.053244633;0.010070566;0.072110393;0.064351672;0.057939206;0.074026987;0.053870404;0.061108531;0.050806084;0.062416793;0.050472664;0.059522851;0.069445108;0.032458429;0.05185254;0.031183616;0.050427727;0.049948096;0.007569111
1/1/2024;0.071411031;0.080029352;0.046561751;0.059133301;0.051350897;0.072112205;0.048998569;0.047068344;0.088385064;0.051692427;0.040672238;0.036556119;0.055014006;0.023400216;0.093825391;0.047915644;0.066014481;0.039442714;0.050276275;0.047744792;0.057444983;0.014049759;0.081507461;0.089632226;0.061593406;0.07329077;0.044940186;0.064461057;0.044748715;0.068850162;0.050107337;0.072318577;0.075987488;0.027408473;0.056067998;0.047811559;0.067113418;0.05894152;0.012675429
1/1/2025;0.073940597;0.082894304;0.052260438;0.062074552;0.046731081;0.074993977;0.048386047;0.049909287;0.091528113;0.065567781;0.034307048;0.030687119;0.060083938;0.036849704;0.092821046;0.046355232;0.059872248;0.047281905;0.028710348;0.042778082;0.059642197;0.012183738;0.08576957;0.083025018;0.075512604;0.071426668;0.05969479;0.065137456;0.047934328;0.051807535;0.068410139;0.078902415;0.081531937;0.026844093;0.040365699;0.079304986;0.071638228;0.060708989;0.010133418
